: 1606100448:0;chsh -s $(which zsh)
: 1606109572:0;flutter doctor
: 1606109607:0;cd ../..
: 1606109609:0;clear
: 1606109609:0;ls
: 1606109630:0;rm -rf AndroidStudio
: 1606109632:0;clear
: 1606109634:0;cd
: 1606109635:0;ls
: 1606109639:0;ls Android
: 1606109640:0;ls
: 1606109644:0;rm -rf Android
: 1606109646:0;clear
: 1606109647:0;ls
: 1606109652:0;flutter doctor
: 1606109658:0;clear
: 1606109669:0;flutter config --android-studio-dir=""
: 1606109674:0;flutter doctor
: 1606109934:0;pwd
: 1606109941:0;flutter config --android-studio-dir="/home/mzamayias/Development/android-studio"
: 1606109945:0;flutter doctor
: 1606110251:0;flutter doctor --android-licenses
: 1606110261:0;flutter doctor
: 1606110329:0;ls ".config/Android Open Source Project/"
: 1606110365:0;ls ".config/Google\
\
"
: 1606110376:0;ls ".config/Google/AndroidStudio4.1/
: 1606110378:0;clear
: 1606110379:0;ls
: 1606110547:0;ls ~/.local/share/JetBrains/
: 1606110636:0;flutter --help
: 1606110660:0;flutter doctor
: 1606110668:0;flutter emulators
: 1606110678:0;flutter emulators --launch Pixel_3a_API_30_x86
: 1606110699:0;flutter config --help
: 1606110706:0;ls
: 1606110708:0;ls Android
: 1606110746:0;flutter config --android-sdk="/home/mzamayias/Android/Sdk"
: 1606110752:0;flutter emulators --launch Pixel_3a_API_30_x86
: 1606110761:0;flutter doctor
: 1606110824:0;rm -rf Development/android-studio
: 1606110849:0;rm -rf .local/share/Google/AndroidStudio4.1
: 1606110869:0;rm -rf .local/share/JetBrains
: 1606112863:0;flutter doctor
: 1606112876:0;flutter config --android-sdk=""
: 1606112889:0;flutter config --android-studio-dir=""
: 1606112892:0;clear
: 1606112897:0;flutter doctor
: 1606113013:0;sudo apt install steam-installer slack-desktop discord -y
: 1606113057:0;ls ~/.local/share/JetBrains/Toolbox
: 1606113064:0;ls ~/.local/share/JetBrains/Toolbox/apps
: 1606113067:0;ls ~/.local/share/JetBrains/Toolbox/apps/AndroidStudio
: 1606113071:0;ls ~/.local/share/JetBrains/Toolbox/apps/AndroidStudio/ch-0
: 1606113078:0;ls ~/.local/share/JetBrains/Toolbox/apps/AndroidStudio/ch-0/201.6953283
: 1606113084:0;ls ~/.local/share/JetBrains/Toolbox/apps/AndroidStudio/ch-0/201.6953283/plugins
: 1606113138:0;flutter config --android-studio-dir="~/.local/share/JetBrains/Toolbox/apps/AndroidStudio/ch-0/201.6953283"
: 1606113145:0;flutter doctor
: 1606113157:0;flutter config --android-studio-dir="~/.local/share/JetBrains/Toolbox/apps/AndroidStudio/ch-0"
: 1606113160:0;flutter doctor
: 1606113176:0;flutter config --android-studio-dir="~/.local/share/JetBrains/Toolbox/apps/AndroidStudio/ch-0/201.6953283"
: 1606113191:0;ls ~/.local/share/JetBrains/Toolbox/apps/AndroidStudio/ch-0/201.6953283/plugins
: 1606113194:0;cd ~/.local/share/JetBrains/Toolbox/apps/AndroidStudio/ch-0/201.6953283/plugins
: 1606113196:0;cd ..
: 1606113196:0;ls
: 1606113200:0;cd .
: 1606113201:0;ls
: 1606113203:0;cd ..
: 1606113204:0;ls
: 1606113208:0;cd ..
: 1606113209:0;ls
: 1606113216:0;pwd
: 1606113226:0;flutter config --android-studio-dir="/home/mzamayias/.local/share/JetBrains/Toolbox/apps/AndroidStudio"
: 1606113234:0;flutter doctor
: 1606113252:0;pwd
: 1606113254:0;cd ch-0
: 1606113256:0;ls
: 1606113529:0;cd Downloads
: 1606113529:0;ls
: 1606113532:0;cd android-studio-ide-201.6953283-linux
: 1606113532:0;ls
: 1606113535:0;cd ..
: 1606113539:0;rm -rf android-studio-ide-201.6953283-linux
: 1606113540:0;clear
: 1606113542:0;ls
: 1606113557:0;tar -xvf android-studio-ide-201.6953283-linux.tar.gz
: 1606113569:0;ls
: 1606113574:0;ls android-studio
: 1606113599:0;cp -r android-studio /usr/local
: 1606113611:0;sudo cp -r android-studio /usr/local
: 1606113619:0;ls /usr/local
: 1606113634:0;cd /usr/local/android-studio/bin
: 1606113638:0;./studio.sh
: 1606113689:0;rm -rf /home/mzamayias/.local/share/JetBrains/Toolbox/apps/AndroidStudio
: 1606113707:0;rm -rf /home/mzamayias/.local/share/Google/AndroidStudio4.1
: 1606113724:0;rm -rf /home/mzamayias/.android
: 1606113785:0;rm -rf /home/mzamayias/.config/Google/AndroidStudio4.1/
: 1606113799:0;clear
: 1606113816:0;sudo poweroff --force --reboot
: 1606113876:0;cd /usr/local/android-studio/bin
: 1606113879:0;./studio.sh
: 1606114276:0;dc
: 1606114279:0;cd
: 1606114284:0;flutter doctor
: 1606114298:0;flutter config --android-studio-dir=""
: 1606114300:0;flutter doctor
: 1606114313:0;flutter config --android-studio-dir="/usr/local/android-studio"
: 1606114315:0;flutter doctor
: 1606114594:0;flutter emulators
: 1606114604:0;flutter emulators --launch Pixel_3a_API_30_x86
: 1606114640:0;flutter doctor
: 1606114648:0;clea
: 1606114696:0;clear
: 1606114703:0;flutter doctor
: 1606114792:0;clear
: 1606114801:0;flutter doctor
: 1606115001:0;bash -c "$(wget -q -O - https://linux.kite.com/dls/linux/current)"
: 1606115067:0;fd
: 1606115160:0;clear
: 1606115160:0;ls
: 1606115163:0;fd
: 1606115167:0;source ~/.zshrc
: 1606115169:0;fd
: 1606115175:0;clear
: 1606115198:0;cd Downloads
: 1606115198:0;ls
: 1606115206:0;rm -rf android-studio jetbrains-toolbox-1.18.7609
: 1606115207:0;clear
: 1606115208:0;ls
: 1606115215:0;clear
: 1606115356:0;./Anaconda3-2020.11-Linux-x86_64.sh
: 1606115366:0;zsh ./Anaconda3-2020.11-Linux-x86_64.sh
: 1606115457:0;source ~/.zshrc
: 1606115459:0;clear
: 1606115462:0;exit
: 1606115474:0;p10k configure
: 1606115525:0;clear
: 1606115527:0;p10k configure
: 1606115583:0;clear
: 1606115678:0;curl https://build.opensuse.org/projects/home:manuelschneid3r/public_key | sudo apt-key add -
: 1606115696:0;echo 'deb http://download.opensuse.org/repositories/home:/manuelschneid3r/xUbuntu_20.04/ /' | sudo tee /etc/apt/sources.list.d/home:manuelschneid3r.list
: 1606115702:0;sudo wget -nv https://download.opensuse.org/repositories/home:manuelschneid3r/xUbuntu_20.04/Release.key -O "/etc/apt/trusted.gpg.d/home:manuelschneid3r.asc"
: 1606115706:0;sudo apt update
: 1606115723:0;sudo apt install albert
: 1606115737:0;clear
: 1606115900:0;sudo apt remove seahorse --purge -y
: 1606115929:0;clear
: 1606116781:0;sudo nano /usr/share/themes/Materia-compact/gnome-shell/gnome-shell.css
: 1606117078:0;speedtest
: 1606118577:0;ls
: 1606118580:0;cd ..
: 1606118581:0;ls
: 1606118586:0;cd AndroidStudioProjects
: 1606118587:0;ls
: 1606118597:0;rm -rf ./*
: 1606118603:0;ls
: 1606118608:0;cd; clear
: 1606118793:0;source .zshrc
: 1606118796:0;poweroff
: 1606118987:0;source .zshrc
: 1606118989:0;clear
: 1606118989:0;ls
: 1606119035:0;source .zshrc
: 1606119039:0;ls
: 1606119047:0;source .zshrc
: 1606119052:0;ls
: 1606119080:0;source .zshrc
: 1606119082:0;ls
: 1606119124:0;source .zshrc
: 1606119126:0;ls
: 1606119136:0;source .zshrc
: 1606119139:0;ls
: 1606119146:0;clear
: 1606138530:0;mkdir Repositories
: 1606138533:0;cd Documents
: 1606138557:0;mkdir FlutterExperiments
: 1606138560:0;cd FlutterExperiments
: 1606138570:0;flutter create --help
: 1606138603:0;flutter create GoFish
: 1606138614:0;code GoFish -n
: 1606138629:0;clear
: 1606138712:0;source .zshrc
: 1606138716:0;source ~/.zshrc
: 1606138719:0;clear
: 1606138722:0;fld
: 1606138947:0;flle
: 1606138992:0;source ~/.zshrc
: 1606138994:0;clear
: 1606139000:0;flr --help
: 1606139024:0;flr
: 1606139039:0;cd GoFish
: 1606139040:0;clear
: 1606139043:0;flr
: 1606141664:0;clear;cd
: 1606145569:0;poweroff
: 1606146051:0;xrandr --output eDP-1-1 --gamma 0.8:0.8:0.8
: 1606146054:0;cler
: 1606146057:0;clear
: 1606146067:0;ls
: 1606146097:0;source ~/.zshrc
: 1606146102:0;clear
: 1606146103:0;ls
: 1606146108:0;clear
: 1606146149:0;xrandr --output eDP-1-1 --gamma 0.8:0.8:0.8
: 1606146169:0;ls -G
: 1606146173:0;clear
: 1606147332:0;xrandr --output eDP-1-1 --gamma 0.8:0.8:0.8
: 1606147334:0;clear
: 1606148242:0;uname -r
: 1606148620:0;cd Downloads
: 1606148623:0;cd Kernels/5.9.10
: 1606148624:0;clear
: 1606148625:0;ls
: 1606148632:0;rm linux-modules-5.9.10-050910-lowlatency_5.9.10-050910.202011221708_amd64.deb
: 1606148647:0;sudo dpkg -i *.deb
: 1606148807:0;rm *lowlatency*
: 1606148809:0;ls
: 1606148812:0;sudo dpkg -i *.deb
: 1606150458:0;xrandr --output eDP-1-1 --gamma 0.8:0.8:0.8
: 1606150459:0;clear
: 1606150481:0;sudo apt remove --purge -y
: 1606150498:0;apt --fix-broken install
: 1606150503:0;sudo apt --fix-broken install
: 1606150510:0;clear
: 1606150519:0;rm -rf .steam
: 1606150528:0;rm -rf Steam
: 1606150534:0;rm -rf .steampath
: 1606150537:0;rm -rf .steampid
: 1606150562:0;sudo apt remove --purge -y steam
: 1606150575:0;rm -rf .steam
: 1606150582:0;sudo apt autoremove -y
: 1606150586:0;claer
: 1606150588:0;clea
: 1606150589:0;clear
: 1606166120:0;cd /usr/share/fonts
: 1606166121:0;ls
: 1606166125:0;cd truetype
: 1606166126:0;ls
: 1606166133:0;cd firacode
: 1606166133:0;ls
: 1606166201:0;sudo apt remove --purge -y fonts-firacode 
: 1606166218:0;ls
: 1606166220:0;cd ..
: 1606166221:0;ls
: 1606166222:0;clear
: 1606166223:0;ls
: 1606166230:0;sudo rm -rf firacode
: 1606166274:0;fc-cache -fv
: 1606166279:0;fc-cache -rv
: 1606166284:0;clear
: 1606166349:0;mkdir firacode
: 1606166354:0;sudo mkdir firacode
: 1606166366:0;cp ~/Downloads/ttf/* firacode
: 1606166370:0;sudo cp ~/Downloads/ttf/* firacode
: 1606166374:0;ls
: 1606166377:0;ls firacode
: 1606166379:0;clear
: 1606166382:0;fc-cache -rv
: 1606166394:0;sudo fc-cache -rv
: 1606166402:0;clear
: 1606166735:0;ls
: 1606168646:0;clear
: 1606168646:0;cd
: 1606168647:0;clear
: 1606168649:0;python
: 1606168757:0;ipython
: 1606176384:0;sudo apt install steam-installer -y
: 1606176752:0;clear
: 1606176753:0;ls
: 1606176755:0;cd Repositories
: 1606176758:0;git clone https://git.sr.ht/\~iank/evhz/tree/master
: 1606176762:0;clear
: 1606176762:0;ls
: 1606176779:0;git clone https://git.sr.ht/\~iank/evhz
: 1606176784:0;cd evhz
: 1606176787:0;clear
: 1606176788:0;ls
: 1606176791:0;./run
: 1606176868:0;clear
: 1606176871:0;cat /sys/module/usbhid/parameters/mousepoll
: 1606176899:0;echo 6 > /sys/kernel/debug/bluetooth/hci0/conn_min_interval
: 1606176905:0;clear
: 1606176944:0;ls /var/lib/bluetooth
: 1606176990:0;rm /var/lib/bluetooth/C0:B6:F9:8C:4A:64
: 1606177002:0;sudo rm -rf /var/lib/bluetooth/C0:B6:F9:8C:4A:64
: 1606177004:0;clear
: 1606177005:0;ls
: 1606177007:0;cd
: 1606177009:0;clear
: 1606177025:0;sudo reboot
: 1606177069:0;clear
: 1606177459:0;sudo apt install solaar-gnome3 -y
: 1606177618:0;fwupdmgr get-devices\

: 1606177680:0;sudo apt install piper
: 1606177808:0;cd Repositories
: 1606177810:0;git clone https://github.com/pwr-Solaar/Solaar.git
: 1606177815:0;cd Solaar/bin
: 1606177817:0;ls
: 1606177821:0;./solaar
: 1606177835:0;sudo apt install python3-pyudev -y
: 1606177838:0;./solaar
: 1606177860:0;conda install python3-pyudev
: 1606177880:0;conda install pyudev
: 1606178187:0;udevadm control --reload
: 1606178191:0;sudo udevadm control --reload
: 1606178204:0;sudo udevadm trigger
: 1606178211:0;clear
: 1606178501:0;sudo apt install libratbag -y
: 1606178559:0;cd Repositories/evhz
: 1606178560:0;./run
: 1606178585:0;clear
: 1606178587:0;cd ..
: 1606178590:0;rm -rf Solaar
: 1606178602:0;sudo apt remove --purge -y solaar
: 1606178614:0;sudo apt autoremove -y
: 1606178645:0;clear
: 1606178720:0;sudo apt remove piper --purge -y
: 1606178723:0;clear
: 1606178725:0;exit
: 1606178826:0;clear
: 1606178832:0;xrandr --output eDP-1-1 --gamma 0.8:0.8:0.8
: 1606178838:0;clear
: 1606188368:0;sudo apt install calibre -y
: 1606190390:0;cd Documents
: 1606190391:0;ls
: 1606190397:0;mkdir Repositories
: 1606190399:0;cd Repositories
: 1606190400:0;clear
: 1606190420:0;git clone https://github.com/mzamayias/glowing-sniffle.git
: 1606190439:0;cd glowing-sniffle
: 1606190440:0;clear
: 1606190447:0;ls "Current Courses/"
: 1606192928:0;xrandr --output eDP-1-1 --gamma 0.8:0.8:0.8
: 1606192953:0;cd "Current Courses"
: 1606192954:0;clear
: 1606192955:0;ls
: 1606192966:0;mkdir "Programming Languages"
: 1606193040:0;cp ~"/Documents/Java/Assignment 1" ."/Programming Languages"
: 1606193044:0;cp -r ~"/Documents/Java/Assignment 1" ."/Programming Languages"
: 1606193051:0;ls Programming Logic\ Programming
: 1606193067:0;ls "Programming Languages/"
: 1606193070:0;ls "Programming Languages/Assignment 1"
: 1606193078:0;clear
: 1606193139:0;sudo apt install tree
: 1606193148:0;clear
: 1606193151:0;tree --help
: 1606193180:0;cd "Programming Languages/Assignment 1"
: 1606193186:0;tree .
: 1606193258:0;tree -iC .
: 1606193261:0;tree -C .
: 1606193334:0;rm "Task 1/Assignment 1.iml"
: 1606193365:0;rm -rf "Task 1/out/production/Assignment 1"
: 1606193369:0;tree -C .
: 1606193393:0;tree -C
: 1606193398:0;clear
: 1606193401:0;tree
: 1606193412:0;cd ..
: 1606193414:0;clear
: 1606193417:0;git status
: 1606193421:0;git add .
: 1606193424:0;git status
: 1606193452:0;code ../../
: 1606193639:0;clear
: 1606193900:0;ls
: 1606193927:0;zip assignment_1-tp5000.zip "Assignment 1"
: 1606193973:0;zip -r assignment_1-tp5000.zip "Assignment 1"
: 1606194009:0;touch README.md
: 1606194014:0;code README.md
: 1606194207:0;zip assignment_1-tp5000.zip README.md
: 1606194304:0;clear
: 1606194311:0;rm assignment_1-tp5000.zip
: 1606194313:0;clear
: 1606202755:0;code -n .
: 1606203804:0;git status
: 1606203833:0;git add .
: 1606203834:0;clear
: 1606203836:0;git status
: 1606203879:0;git checkout -b master
: 1606203891:0;git checkout master
: 1606203963:0;clear
: 1606203965:0;git status
: 1606204036:0;git add ../../.gitignore
: 1606204037:0;clear
: 1606204040:0;git status
: 1606204054:0;git commit -m "modified gitignore"
: 1606204057:0;git push
: 1606204085:0;clear
: 1606204087:0;git status
: 1606204540:0;cd Assignment\ 2/Task\ 2
: 1606204541:0;clear
: 1606204542:0;ls
: 1606204556:0;rm -rf out
: 1606204558:0;cd ..
: 1606204560:0;clear
: 1606204561:0;ls
: 1606204564:0;git status
: 1606204576:0;git add .
: 1606204578:0;clear
: 1606204580:0;ls
: 1606204583:0;git status
: 1606204638:0;git commit -m "fixed task 2 of assignment 2 on programming languages directory structure"
: 1606204642:0;git push
: 1606204850:0;clear
: 1606204851:0;git status
: 1606204867:0;git add .
: 1606204872:0;git status
: 1606204909:0;git commit -m "added some TODOs"
: 1606204922:0;git status
: 1606205026:0;cd
: 1606205027:0;clear
: 1606205030:0;poweroff
: 1606205210:0;xrandr --output eDP-1-1 --gamma 0.8:0.8:0.8
: 1606205218:0;sudo apt update 
: 1606205305:0;sudo apt-key adv --keyserver keyserver.ubuntu.com C6ABDCF64DB9A0B2
: 1606205323:0;sudo apt-key adv --keyserver keyserver.ubuntu.com --recv-keys C6ABDCF64DB9A0B2
: 1606205332:0;sudo apt update 
: 1606205369:0;cd Documents
: 1606205380:0;touch fix_pubkey.sh
: 1606205385:0;code fix_pubkey.sh
: 1606205418:0;chmod +x fix_pubkey.sh
: 1606205422:0;./fix_pubkey.sh
: 1606205442:0;sudo ./fix_pubkey.sh
: 1606205537:0;clear
: 1606205604:0;./fix_pubkey.sh
: 1606205830:0;clear
: 1606205841:0;sudo apt remove --purge -y slack-desktop
: 1606205853:0;sudo apt autoremove -y --purge
: 1606205862:0;sudo apt autoclean -y --purge
: 1606205868:0;sudo apt autoclean -y 
: 1606205875:0;sudo apt update 
: 1606206087:0;clear
: 1606206090:0;./fix_pubkey.sh
: 1606206421:0;sudo nano /etc/apt/sources.list
: 1606206459:0;sudo nano /etc/apt/sources.list.d
: 1606206469:0;ls /etc/apt/sources.list.d
: 1606206486:0;sudo nano /etc/apt/sources.list.d/slack.list
: 1606206503:0;sudo apt update 
: 1606206526:0;sudo nano /etc/apt/sources.list.d/slack.list
: 1606207657:0;cd "Repositories/glowing-sniffle/Current Courses/Programming Languages/Assignment 2/Task 1"
: 1606207658:0;clear
: 1606207659:0;ls
: 1606207717:0;rm -rf out
: 1606210733:0;clear
: 1606211696:0;glxinfo | grep "OpenGL"
: 1606211710:0;sudo apt install -y glxinfo
: 1606211752:0;glxinfo | grep "OpenGL version"\
\

: 1606211777:0;sudo apt install -y mesa-utils
: 1606211785:0;glxinfo | grep "OpenGL version"
: 1606211806:0;sudo apt install obs-studio -y
: 1606220187:0;sudo apt remove --purge -y steam
: 1606220195:0;clear
: 1606220238:0;rm -rf ~/.steam ~/Steam ~/.steampath ~/.steampid
: 1606220465:0;cd Downloads/wt_launcher_linux_0.9.4.47/WarThunder
: 1606220466:0;clear
: 1606220466:0;ls
: 1606220476:0;__NV_PRIME_RENDER_OFFLOAD=1 launcher
: 1606220479:0;__NV_PRIME_RENDER_OFFLOAD=1 ./launcher
: 1606221412:0;cd src/com/company/task_3
: 1606221412:0;ls
: 1606221417:0;rm StorageDevice.java
: 1606224925:0;xrandr --output eDP-1-1 --gamma 0.8:0.8:0.8
: 1606228313:0;clear
: 1606228345:0;__NV_PRIME_RENDER_OFFLOAD=1 __GLX_VENDOR_LIBRARY_NAME=nvidia ./launcher
: 1606228762:0;__NV_PRIME_RENDER_OFFLOAD=1 ./launcher
: 1606234538:0;xrandr --output eDP-1-1 --gamma 0.8:0.8:0.8
: 1606249307:0;cd ../../..
: 1606249308:0;ls
: 1606249895:0;poweroff
: 1606250452:0;cd Documents/Repositories/glowing-sniffle
: 1606250467:0;cd "Current Courses/Programming Languages/"
: 1606250468:0;ls
: 1606250489:0;zip assignment_2-tp5000.zip "Assignment 2" README.md
: 1606250505:0;rm assignment_2-tp5000.zip
: 1606250506:0;clear
: 1606250511:0;zip -r assignment_2-tp5000.zip "Assignment 2" README.md
: 1606250555:0;cd "Assignment 2/Task 2"
: 1606250556:0;ls
: 1606250562:0;rm -rf out/'
: 1606250564:0;rm -rf out/
: 1606250566:0;cd ..
: 1606250569:0;cd Task\ 3
: 1606250570:0;rm -rf out/
: 1606250571:0;clear
: 1606250575:0;git status
: 1606250586:0;cd ../..
: 1606250588:0;ls
: 1606250593:0;rm *.zip
: 1606250594:0;ls
: 1606250600:0;zip -r assignment_2-tp5000.zip "Assignment 2" README.md
: 1606250667:0;rm *.zip
: 1606250668:0;clear
: 1606250668:0;ls
: 1606250672:0;git status
: 1606250674:0;exit
: 1606250755:0;sudo apt install gparted -y
: 1606250772:0;sudo gparted
: 1606250842:0;cd Downloads
: 1606250843:0;ls
: 1606250859:0;rm -rf wt_launcher_linux_0.9.4.47
: 1606250893:0;sudo apt autoremove --purge -y; sudo apt autoclean -y; sudo reboot
: 1606251452:0;xrandr --output eDP-1-1 --gamma 0.8:0.8:0.8
: 1606251465:0;xrandr --output DP-1 --gamma 0.8:0.8:0.8
: 1606256466:0;poweroff
: 1606310633:0;xrandr --output DP-1 --gamma 0.8:0.8:0.8
: 1606310638:0;xrandr --output eDP-1 --gamma 0.8:0.8:0.8
: 1606310663:0;xrandr --listactivemonitors
: 1606310676:0;xrandr --output eDP-1-1 --gamma 0.8:0.8:0.8
: 1606310677:0;clear
: 1606311245:0;sudo apt install cups-pdf -y\

: 1606311262:0;cd Downloads/Convert\ to\ PDF
: 1606311263:0;clear
: 1606311289:0;oowriter -pt pdf 2020-Mahjong-Solitaire.pptx\

: 1606311414:0;sudo apt remove cups-pdf -y --purge\

: 1606311429:0;sudo apt remove printer-driver-cups-pdf -y --purge
: 1606311469:0;sudo apt-get install wv tetex-extra ghostscript -y
: 1606311519:0;sudo apt install wv texlive-full texlive-fonts-extra texlive-fonts-recommended ghostscript -y
: 1606312474:0;sudo apt rmeove wv ghostscript -y --purge
: 1606312481:0;sudo apt remove wv ghostscript -y --purge
: 1606312520:0;clear
: 1606312551:0;sudo apt install unoconv -y
: 1606312607:0;clear
: 1606312621:0;unoconv --help
: 1606312700:0;which python
: 1606312734:0;sudo nano /usr/bin/unoconv
: 1606312746:0;which python
: 1606312749:0;unoconv --help
: 1606312758:0;sudo nano /usr/bin/unoconv
: 1606312766:0;nano /usr/bin/unoconv
: 1606312777:0;sudo unoconv --help
: 1606312794:0;chmod +x /usr/bin/unoconv
: 1606312797:0;sudo chmod +x /usr/bin/unoconv
: 1606312802:0;unoconv --help
: 1606312810:0;sudo unoconv --help
: 1606312825:0;clear
: 1606312839:0;sudo apt remove --purge -y unoconv
: 1606312851:0;sudo apt autoremove --purge -y
: 1606312878:0;clear
: 1606312879:0;ls
: 1606312885:0;lowriter --headless --convert-to pdf *.pptx
: 1606313589:0;sudo mkdir /usr/share/fonts/truetype/microsoftfonts
